query,载体形式,时长秒,点赞数,内容形式主类,标题,话题标签,作者,发布时间,编码命中
鲁迅说,图文,,50,无关混入,七年级上册语文阅读笔记。,手写;字丑勿喷;阅读笔记;手写文字日常;语文,创作者_127,14小时前,知识讲解类;无关混入(无鲁迅相关词)
鲁迅说,图文,,50,知识讲解类,从来如此，便对么？ 不困于固有框架，保持思考，慢慢生长。,手写摘抄;鲁迅语录;人间清醒;自我成长;认知提升,创作者_128,8月15日,知识讲解类;名句呈现类;共鸣纪念类
鲁迅说,图文,,53,名句呈现类,彷徨。,鲁迅先生;文学,创作者_129,12小时前,名句呈现类(图文推定)
鲁迅说,图文,,542,知识讲解类,鲁迅语录10句。,鲁迅;读书;阅读;名家名段;书单,创作者_130,2024年8月4日,知识讲解类;名句呈现类
鲁迅说,图文,,571,名句呈现类,鲁迅文案,小丑,创作者_131,2025年1月18日,名句呈现类(图文推定)
鲁迅说,图文,,576,知识讲解类,迅哥儿也太逗了。,知识分享;每天跟我涨知识;国学知识,创作者_132,1月7日,知识讲解类
鲁迅说,图文,,6,名句呈现类,让我看看你们的字字,手写文字分享;鲁迅经典文字;写文字的力量,创作者_133,8月11日,名句呈现类(图文推定)
鲁迅说,图文,,6,名句呈现类,终于踩进了鲁迅的文字里,,创作者_134,1天前,名句呈现类(图文推定)
鲁迅说,图文,,624,名句呈现类,鲁迅笔下的封神语录。上学时不懂鲁迅，读懂已是局中人,鲁迅先生;鲁迅名言,创作者_135,2025年2月21日,名句呈现类;共鸣纪念类
鲁迅说,图文,,627,名句呈现类,鲁迅的这8句话，估计再过100年也不会过。,鲁迅名言;人间清醒;悟人生之道;智慧人生;触动心坎的那些话,创作者_136,2024年8月16日,名句呈现类;共鸣纪念类
鲁迅说,图文,,657,名句呈现类,鲁迅顶级的讽刺。猛兽总是独行，牛羊才成群结队,名言;人间清醒;名人语录;小说推荐;鲁迅先生,创作者_137,2025年11月19日,名句呈现类;共鸣纪念类
鲁迅说,图文,,7,名句呈现类,从来如此，便对么？——鲁迅《狂人日记》,鲁迅先生;狂人日记;鲁迅名言,创作者_138,2023年1月14日,名句呈现类
鲁迅说,图文,,8,名句呈现类,“愿中国青年都摆脱冷气，只是向上走，不必听自暴自弃者流的话。能做事的做事，能发声的发声。” ——鲁迅,,创作者_139,12小时前,名句呈现类(原句特征)
鲁迅说,图文,,86,名句呈现类,不必说碧绿的菜畦，光滑的石井栏，高大的皂荚树，紫红的桑葚；也不必说鸣蝉在树叶里长吟，肥胖的黄蜂伏在菜花上，轻捷的叫天子（云雀）忽然从草间直窜向云霄里去了。单是周围的短短的泥墙根一带，就有无限趣味。,鲁迅先生;鲁迅故居;学习历史传承古文化;三味书屋;百草园,创作者_140,7月21日,名句呈现类(图文推定)
鲁迅说,图文,,923,名句呈现类,鲁迅关于人性的几句话✍️建议收藏。,鲁迅语录;鲁迅名言;人性;人性和现实,创作者_018,2023年10月8日,名句呈现类
故事新编 鲁迅,视频,92,4376,知识讲解类,想要了解迅哥的“脑洞”，不妨读读这本《故事新编》,鲁迅先生;故事新编;好书大晒,创作者_141,2023年3月1日,知识讲解类
故事新编 鲁迅,视频,114,51000,知识讲解类,鲁迅有没有好读一点儿的书？余华只有《活着》这一部好作品吗？张爱玲是不是只会写言情？,这么深的知识都被我挖到了;抖音夏日光合季;奇妙知识在抖音,创作者_069,2022年8月10日,知识讲解类
故事新编 鲁迅,视频,117,55,知识讲解类,《故事新编》鲁迅     《故事新编》神话被拆得七零八落，露出人性的荒谬和生活的无奈。,鲁迅;故事新编;中国古代神话故事;读书,创作者_142,2天前,知识讲解类
故事新编 鲁迅,视频,8217,6,剧情演绎类,鲁迅《故事新编》线上特别演出,,创作者_143,2022年5月7日,剧情演绎类
故事新编 鲁迅,视频,229,108,知识讲解类,《故事新编》·《补天》鲁迅笔下的女娲，根本不爱她造的人类,鲁迅先生;故事新编;补天;文学;语文,创作者_144,5月19日,知识讲解类
故事新编 鲁迅,视频,300,172,剧情演绎类,鲁迅的作品，也能拍成短剧吗？我把《故事新编》里最晦涩的《铸剑》，做成了漫剧。 少年眉间尺的父亲，是一代铸剑名工。 可当他铸成那柄举世无双的宝剑，多疑善妒的楚王，便残忍将他杀害，身首分埋两地。 得知血海深仇，眉间尺决意复仇。 可他优柔寡断的本性，早已为这场复仇埋下悲剧的伏笔。 直到黑衣人出现，主动提出替他报仇。 眉间尺没有犹豫，献出宝剑，也献出了自己的头颅。 黑衣人带着首级与宝剑进入王宫，巧计斩下楚,国漫短片;鲁迅先生;眉间尺;铸剑;ai漫剧,创作者_145,1天前,剧情演绎类;知识讲解类
故事新编 鲁迅,视频,312,626,知识讲解类,我最喜欢的鲁迅短篇 《铸剑》是一篇深邃而劲健的作品。,文学;读书,创作者_146,1月25日,知识讲解类
故事新编 鲁迅,视频,439,16,知识讲解类,鲁迅作品《故事新编·理水》赏析｜“对英雄的误读从未停止”,人文星闪耀计划;文学;阅读;书单;鲁迅先生,创作者_147,2024年7月24日,知识讲解类
故事新编 鲁迅,视频,480,121,知识讲解类,深度解读鲁迅《故事新编》：从呐喊到冷笑，神话背后的荒诞与虚无 你是否也对英雄厌倦了传说？鲁迅晚年最“油滑”的杰作《故事新编》，将射日的后羿嫦娥拖入凡尘，让他们为一碗炸酱面争吵。,鲁迅;故事新编;深度解读;书评;文脉里的中国,创作者_148,2025年11月28日,知识讲解类
故事新编 鲁迅,视频,489,1052,知识讲解类,鲁迅小说《铸剑》深度解读 为什么说《铸剑》是《故事新编》里最好的小说？,铸剑;故事新编;鲁迅先生;解读名著,创作者_149,2025年12月18日,知识讲解类
故事新编 鲁迅,视频,511,35,知识讲解类,30年代文学——鲁迅的晚年之作：《故事新编》的诞生和思想内容,鲁迅先生;鲁迅杂文;故事新编;现代文学史,创作者_150,2024年12月23日,知识讲解类
故事新编 鲁迅,视频,662,2,名句呈现类,视频日记 Day63:鲁迅《故事新编》,视频日记;读书;鲁迅;故事新编;女娲,创作者_151,7月21日,名句呈现类(原句特征)
故事新编 鲁迅,视频,773,43,知识讲解类,跳出原版框架，改编传统典故。每一个小故事都有全新惊喜。,故事新编;文学解读;名著解读;读书分享,创作者_152,6月8日,知识讲解类
故事新编 鲁迅,视频,812,4821,知识讲解类,鲁迅的小说作品数量有限，但传世之作很多，文字精炼而深刻。,读书;鲁迅,创作者_146,2021年11月29日,知识讲解类
故事新编 鲁迅,视频,882,347,知识讲解类,鲁迅《故事新编 》《奔月》❶,鲁迅;鲁迅小说;鲁迅故事新编;故事新编;鲁迅语录;鲁迅小说;小说,创作者_153,2023年10月2日,知识讲解类;名句呈现类
故事新编 鲁迅,视频,1042,6,知识讲解类,睡前共读，今天我们读鲁迅先生的《故事新编》。 今天要讲的这本书，叫《故事新编》。它是鲁迅最特别的一本小说集，也是他生前最后一部纯文学作品。你可能会想，鲁迅不是写《呐喊》《彷徨》的吗？怎么会写“故事新编”？听起来像儿童读物？ 不。这本书，是鲁迅用最嬉皮笑脸的方式，写的最认真的人生答案。,睡前阅读;今天分享;鲁迅先生;呐喊;人生是一本书,创作者_154,4月16日,知识讲解类
故事新编 鲁迅,视频,1451,23,知识讲解类,神话讽刺《奔月》鲁迅-天天吃乌鸦肉实在难熬，永别了我的爱人,文学;鲁迅先生;好文分享;短篇故事;短篇小说,创作者_155,2024年3月21日,知识讲解类
故事新编 鲁迅,视频,1637,9,知识讲解类,09 《铸剑》：鲁迅的自我反省之作,,创作者_156,2025年3月26日,知识讲解类
